-85.1674	10.0194
-85.14452	9.99934
-85.08385	9.97492
-85.0762	9.97065
-85.06908	9.97342
-85.05313	9.96695
-85.01452	9.94497
-84.99669	9.93928
-84.97757	9.93879
-84.95958	9.94648
-84.94778	9.93716
-84.9226	9.92145
-84.91112	9.91169
-84.91112	9.90546
-84.93106	9.9007
-84.93017	9.8863
-84.91808	9.86953
-84.90494	9.85708
-84.91308	9.85432
-84.92077	9.84894
-84.93285	9.83662
-84.91808	9.83002
-84.90062	9.82807
-84.86461	9.82917
-84.86461	9.82294
-84.87869	9.81354
-84.8966	9.8061
-84.91202	9.79584
-84.91861	9.77827
-84.92235	9.7742
-84.94591	9.76089
-84.95035	9.75357
-84.95547	9.73513
-84.95958	9.72736
-84.99096	9.74274
-85.0076	9.74409
-85.0148	9.73078
-85.01037	9.7226
-84.99498	9.70327
-84.99743	9.69941
-85.02982	9.68374
-85.03527	9.6824
-85.03893	9.67727
-85.06261	9.66531
-85.06749	9.65738
-85.08934	9.58857
-85.0985	9.57107
-85.11046	9.55545
-85.11783	9.55545
-85.14578	9.61262
-85.22912	9.72439
-85.2293	9.72482
-85.22918	9.72494
-85.22663	9.72757
-85.22074	9.73026
-85.21864	9.73067
-85.21619	9.73222
-85.20975	9.7454
-85.20683	9.74783
-85.20425	9.74953
-85.20185	9.75217
-85.19968	9.75636
-85.19684	9.76504
-85.19467	9.76938
-85.19265	9.77243
-85.18694	9.77697
-85.18601	9.77883
-85.18645	9.78111
-85.18926	9.78431
-85.19066	9.78845
-85.1904	9.7946
-85.18014	9.83294
-85.17635	9.84322
-85.1734	9.84937
-85.17384	9.8518
-85.17573	9.85371
-85.19035	9.85712
-85.19291	9.858
-85.195	9.85945
-85.19632	9.86152
-85.19777	9.8671
-85.19864	9.87304
-85.20066	9.87774
-85.202	9.87991
-85.20309	9.88229
-85.2058	9.88648
-85.2113	9.89144
-85.21557	9.89733
-85.21748	9.89893
-85.21983	9.90012
-85.22753	9.90276
-85.2342	9.90648
-85.23993	9.90772
-85.24939	9.90761
-85.25218	9.90823
-85.25466	9.90927
-85.25898	9.91175
-85.26143	9.91283
-85.27032	9.91443
-85.27337	9.91454
-85.2766	9.91449
-85.28593	9.91325
-85.29016	9.91392
-85.2944	9.91604
-85.29822	9.91939
-85.30158	9.92394
-85.30329	9.92968
-85.2991	9.93738
-85.28993	9.94575
-85.26531	9.95753
-85.25487	9.96079
-85.24807	9.96146
-85.24626	9.95986
-85.24471	9.95815
-85.24283	9.9565
-85.24079	9.95546
-85.23614	9.95676
-85.21032	9.97148
-85.20534	9.9736
-85.18337	9.97882
-85.17751	9.98699
-85.1674	10.0194
